1
2
3
4
5
6
7
8
9
10
11
12
touch
1
event at 1599638592.089347, code 57, type 03, val 22
event at 1599638592.089347, code 53, type 03, val 489
event at 1599638592.089347, code 54, type 03, val 294
event at 1599638592.089347, code 330, type 01, val 01
event at 1599638592.089347, code 00, type 03, val 489
event at 1599638592.089347, code 01, type 03, val 294
event at 1599638592.089347, code 00, type 00, val 00
event at 1599638592.156417, code 53, type 03, val 488
event at 1599638592.156417, code 54, type 03, val 297
event at 1599638592.156417, code 00, type 03, val 488
event at 1599638592.156417, code 01, type 03, val 297
event at 1599638592.156417, code 00, type 00, val 00
event at 1599638592.189982, code 54, type 03, val 300
event at 1599638592.189982, code 01, type 03, val 300
event at 1599638592.189982, code 00, type 00, val 00
event at 1599638592.206779, code 53, type 03, val 486
event at 1599638592.206779, code 54, type 03, val 306
event at 1599638592.206779, code 00, type 03, val 486
event at 1599638592.206779, code 01, type 03, val 306
event at 1599638592.206779, code 00, type 00, val 00
event at 1599638592.223575, code 53, type 03, val 482
event at 1599638592.223575, code 54, type 03, val 322
event at 1599638592.223575, code 00, type 03, val 482
event at 1599638592.223575, code 01, type 03, val 322
event at 1599638592.223575, code 00, type 00, val 00
event at 1599638592.240362, code 53, type 03, val 480
event at 1599638592.240362, code 54, type 03, val 332
event at 1599638592.240362, code 00, type 03, val 480
event at 1599638592.240362, code 01, type 03, val 332
event at 1599638592.240362, code 00, type 00, val 00
event at 1599638592.257156, code 53, type 03, val 476
event at 1599638592.257156, code 54, type 03, val 350
event at 1599638592.257156, code 00, type 03, val 476
event at 1599638592.257156, code 01, type 03, val 350
event at 1599638592.257156, code 00, type 00, val 00
event at 1599638592.273977, code 53, type 03, val 474
event at 1599638592.273977, code 54, type 03, val 359
event at 1599638592.273977, code 00, type 03, val 474
event at 1599638592.273977, code 01, type 03, val 359
event at 1599638592.273977, code 00, type 00, val 00
event at 1599638592.290760, code 53, type 03, val 472
event at 1599638592.290760, code 54, type 03, val 373
event at 1599638592.290760, code 00, type 03, val 472
event at 1599638592.290760, code 01, type 03, val 373
event at 1599638592.290760, code 00, type 00, val 00
event at 1599638592.307555, code 53, type 03, val 471
event at 1599638592.307555, code 54, type 03, val 378
event at 1599638592.307555, code 00, type 03, val 471
event at 1599638592.307555, code 01, type 03, val 378
event at 1599638592.307555, code 00, type 00, val 00
event at 1599638592.324348, code 53, type 03, val 470
event at 1599638592.324348, code 54, type 03, val 383
event at 1599638592.324348, code 00, type 03, val 470
event at 1599638592.324348, code 01, type 03, val 383
event at 1599638592.324348, code 00, type 00, val 00
event at 1599638592.341140, code 53, type 03, val 469
event at 1599638592.341140, code 54, type 03, val 389
event at 1599638592.341140, code 00, type 03, val 469
event at 1599638592.341140, code 01, type 03, val 389
event at 1599638592.341140, code 00, type 00, val 00
event at 1599638592.357926, code 53, type 03, val 468
event at 1599638592.357926, code 54, type 03, val 392
event at 1599638592.357926, code 00, type 03, val 468
event at 1599638592.357926, code 01, type 03, val 392
touch
1
event at 1599638592.357926, code 00, type 00, val 00
event at 1599638592.391467, code 53, type 03, val 467
event at 1599638592.391467, code 54, type 03, val 397
event at 1599638592.391467, code 00, type 03, val 467
event at 1599638592.391467, code 01, type 03, val 397
event at 1599638592.391467, code 00, type 00, val 00
event at 1599638592.408249, code 54, type 03, val 399
event at 1599638592.408249, code 01, type 03, val 399
